JNSM,JScholar,New Comprehensive Biochemistry,Elsevier ,New Frontiers in Ophthalmology,Open Access Text,2397-2092
Oral Health Case Reports,OMICS Publishing Group,2471-8726
Orbit A Journal of American Literature,Open Library of Humanities,2398-6786
ORDO,Walter de Gruyter GmbH,0048-2129
Österreichische Botanische Zeitschrift,Springer-Verlag,0029-8948
Outlook on Agriculture,SAGE Publications,0030-7270
International Journal of Feminist Approaches to Bioethics,University of Toronto Press Inc,Journal of Aquaculture Research & Development,OMICS Publishing Group,2155-9546
Journal of Clinical & Experimental Cardiology,OMICS Publishing Group,2155-9880
Journal of Clinical Research & Governance,Swedish Science Pioneers,2001-5682
Journal of Experimental and Clinical Neurosciences,Swedish Science Pioneers,2001-824X
Journal of Foreign Language Teaching and Applied Linguistics,International Burch University,2303-5528
Journal of Religion and Popular Culture,University of Toronto Press Inc,1703-289X
Journal of Textile Science & Engineering,OMICS Publishing Group,2165-8064
Journal of Restructuring Finance,World Scientific ,1609-9451
JCRF,JScholar,Academy of Management Executive,The Academy of Management,1990-1993
Academy of Management Executive,The Academy of Management,1896-3789
Serbian Journal of Experimental and Clinical Research,Walter de Gruyter GmbH,1820-8665
Contemporary Voice of Dalit,SAGE Publications,2455-328X
Contenciosa,Universidad Nacional del Litoral,2347-0011
AATCC Journal of Research,American Association of Textile Chemists and Colorists - AATCC,2330-5517
Contexto,Universidad La Gran Colombia,2339-3084
Contradictio,Universidade Federal do Parana,1984-574X
Convergence Security,River Publishers,2445-9992
Cooperativismo & Desarrollo,Universidad Cooperativa de Colombia - UCC,0120-7180
Correction Review,Korean Society for Correction Service,1226-6809
Creative Arts in Education and Therapy,Quotus Publishing,2451-876X
CREatividade,Faculdades Catolicas,2446-5712
Criar Educação,Fundacao Educacional de Criciuma- FUCRI,2317-2452
Criterios,Universidad de San Buenaventura,2011-5733
Critical Reviews™ in Biomedical Engineering,Begell House Inc.,1943-619X
Crop Research,OMICS Publishing Group,2454-1761
Cross-Cultural Studies,Center for Cross-Cultural Studies,1598-0685
CRSLS MIS Case Reports from SLS,The Society of Laparoendoscopic Surgeons,2376-9254
digitAR - Revista Digital de Arqueologia Arquitectura e Artes,Coimbra University Press,2182-844X
Dimas Jurnal Pemikiran Agama untuk Pemberdayaan,UIN Walisongo Semarang,1411-9188
discourse Deakin University Library research and practice,Deakin University,2205-0531
International Journal on Applied Bio-Engineering,Sathyabama University,0973-9084
International Journal on Data Science and Technology,Science Publishing Group,2472-2200
International Journal on Design and Manufacturing Technologies,Sathyabama University,0973-9106
International Journal on Information Sciences and Computing,Sathyabama University,0973-9092
International Journal on Innovations in Online Education,Begell House Inc.,2377-9519
International Journal on Intelligent Electronic Systems,Sathyabama University,0973-9238
International Journal on Language Literature and Culture in Education,Walter de Gruyter GmbH,2453-7101
International Journal on Smart Material and Mechatronics,Engineering Faculty of Hasanuddin University,2356-5314
Nutrire,Springer (Biomed Central Ltd.),1519-8928
OBM Integrative and Complementary Medicine,Open BioMedical Publishing Corporation,Obstetrics Gynecology and Reproduction,IRBIS,2313-7347
OENO One,Universite de Bordeaux,2494-1271
Oil & Gas Research,OMICS Publishing Group,2472-0518
Oligonucleotides,Mary Ann Liebert,1545-4576
Oncology & Cancer Case Reports,OMICS Publishing Group,2471-8556
Oncomedicine,Ivyspring International Publisher,2206-6349
One Ecosystem,Pensoft Publishers,2367-8194
Onkologiya Zhurnal imeni P A Gertsena,Media Sphere Publishing Group,2305-218X
Open Education,Plekhanov Russian University of Economics (PRUE),1818-4243
OpenNano,Elsevier ,2352-9520
Ophthalmology Journal,VM Media Sp zo.o. - VMGroup SK,2450-7873
Opus,OPUS,1517-7017
Oral Biology Research,The Oral Biology Research Institute at Chosum University,2508-2558
Perinatology,Korean Society of Perinatology (KAMJE),2508-4887
Dauliyah Journal of Islamic and International Affairs,Universitas Darussalam Gontor,2477-5460
Desbordes Revista de Investigaciones Escuela de Ciencias sociales artes y humanidades - UNAD,Universidad Nacional Abierta y a Distancia,2539-4150
DINIKA Academic Journal of Islamic Studies,IAIN Surakarta,2503-4219
Dossiers de Recherches en Economie et Gestion,"Al Manhal FZ, LLC",2336-064X
Journal of Metastable and Nanocrystalline Materials,Trans Tech Publications,2297-6620
Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,0973-7510
Journal of Stem Cell Research & Therapeutics,MedCrave Group,2475-5540
Journal of Veterinary Epidemiology,The Japan Society of Veterinary Epidemiology,1343-2583
Khazanah Informatika Jurnal Ilmu Komputer dan Informatika,Universitas Muhammadiyah Surakarta,2477-698X
Occupational Therapy the Official Journal of the Association of Occupational Therapists,SAGE Publications,0029-800X
Of beginnings middles and endings,Forum for Medical Ethics Society,0974-8466
Organizational Design and Enterprise Engineering,Springer-Verlag,2367-3567
Acción Psicológica,UNED - Universidad Nacional de Educacion a Distancia,1578-908X
Aceh International Journal of Science and Technology,"Institute of Postgraduate Studies, Syiah Kuala University",2088-9860
Acetophenones Substituted on the Aromatic Ring,Thieme Publishing Group,2020-0064
Acid-Catalyzed Protic Solvent Spiroketalization toward Milbemycin,Thieme Publishing Group,2020-0498
ACM Journal of Computer Documentation,Association for Computing Machinery,1527-6805
ACM Letters on Programming Languages and Systems,Association for Computing Machinery,1057-4514
ACM SIGLASH Newsletter,Association for Computing Machinery,0036-147X
ACM SIGMINI Newsletter,Association for Computing Machinery,0163-576X
ACM SIGPC Notes,Association for Computing Machinery,0163-5816
ACM SIGUCCS plugged in,Association for Computing Machinery,2168-8516
ACM Transactions on Computing Education,Association for Computing Machinery,1946-6226
ACM Transactions on Economics and Computation,Association for Computing Machinery,2167-8375
ACM Transactions on Intelligent Systems and Technology,Association for Computing Machinery,2157-6904
ACM Transactions on Interactive Intelligent Systems,Association for Computing Machinery,2160-6455
ACM Transactions on Management Information Systems,Association for Computing Machinery,2158-656X
ACM Transactions on the Web,Association for Computing Machinery,1559-1131
Acolhendo a Alfabetização nos Países de Língua Portuguesa,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,1980-7686
ACOPIOS-Revista Ibérica de Mineralogía,ACOPIOS - Revista Iberica de Mineralogia,2171-7788
Acoustics Research Letters Online,Acoustical Society of America ,1529-7853
Asian Journal of Materials Chemistry,Asian Journal of Chemistry,CHILD`S HEALTH,Publishing House Zaslavsky,2224-0551
Acque Sotterranee-Italian Journal of Groundwater,Associazione Acque Sotterranee,1828-454X
Acrocephalus,De Gruyter Open Sp. z o.o. ,0351-2851
Acta Botanica Croatica,De Gruyter Open Sp. z o.o. ,0365-0588
Acta Chimica Slovaca,De Gruyter Open Sp. z o.o. ,1337-978X
Acta Chirurgica Latviensis,De Gruyter Open Sp. z o.o. ,1407-981X
Acta Cirurgica Brasileira,SciELO,1678-2674
Acta Energetica Power Engineering Quarterly,Energa SA,2300-3022
Chinese Clinical Oncology,AME Publishing Company,2304-3865
Chinese Journal of Physics,Elsevier ,0577-9073
Chinese Republican Studies Newsletter,Informa UK (Taylor & Francis),0884-4496
Chroniques yéménites,OpenEdition,2308-6122
Ciencia Actual,Universidad de San Buenaventura,2248-468X
Ciência e Filosofia,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,0103-5703
Ciencia Política,Universidad Nacional de Colombia,1909-230X
Cine forum,Cineforum,2093-9965
Cirugía y Cirujanos (English Edition),Elsevier ,2444-0507
Citizen Science Theory and Practice,"Ubiquity Press, Ltd.",2057-4991
CLARA,University of Oslo Library,2464-3726
Claustrum,Informa UK (Taylor & Francis),2002-3294
CLEaR,Walter de Gruyter GmbH,2453-7128
Clinical and Experimental Health Sciences,AVES Publishing Co.,2459-1459
Clinical and Translational Orthopedics,Medknow Publications,2468-5674
CLINICAL DENTISTRY,Ternopil State Medical University,2311-9624
Clinical Neurophysiology Practice,Elsevier ,2467-981X
Clinical oncohematology,Practical Medicine Publishing House,1997-6933
Clinical ophthalmology,Doctormedia,2311-7729
Clinical Skin Cancer,Elsevier ,2405-8645
Clinical Ultrasound,The Korea Association of Clinical Ultrasound,2465-7786
Clío América,Universidad del Magdalena,1909-941X
Clusters Research and Development,Infra-M Academic Publishing House,2414-9047
CNL Nuclear Review,Atomic Energy of Canada Limited,2369-6923
Coaching Review,Kozminski University,2081-7029
CODEE Journal,Claremont Colleges Library,2160-5211
Collectivus,Universidad del Atlantico,2382-4018
Colombia Forense,Universidad Cooperativa de Colombia - UCC,2145-0684
Communication & Language at Work,Aarhus University Library,2245-5744
Communication and Development,"Al Manhal FZ, LLC",2409-7071
Communication Research and Practice,Informa UK (Taylor & Francis),2204-1451
Comparative Migration Studies,Springer-Verlag,2214-8590
Competitio,Competitio,1588-9645
Comprehensive Analytical Chemistry,Elsevier ,Compunet ( The Egyptian Information Journal ),"Al Manhal FZ, LLC",2356-9697
Computer Assisted Surgery,Informa UK (Informa Healthcare),2469-9322
Conexões,Universidade Estadual de Campinas,1983-9030
Conexões - Ciência e Tecnologia,IFCE,1982-176X
Conflict and Society,Berghahn Books,2164-4543
Conhecimento & Diversidade,Centro Universitario La Salle - UNILASALLE,2237-8049
Conservation Physiology,Oxford University Press,2051-1434
Contabilidade Gestão e Governança,ANPAD,1984-3925
Contemporary Concepts of Condensed Matter Science,Elsevier ,Contemporary Levant,Informa UK (Taylor & Francis),2058-1831
deleted title Geoinformatics Research Papers,Geophysical Center of the Russian Academy of Sciences,Dental Clinical and Experimental Journal,International Neuroscience Institute,2423-7574
Dental Journal (Majalah Kedokteran Gigi),Universitas Airlangga,1978-3728
der moderne staat – Zeitschrift für Public Policy Recht und Management,Barbara Budrich Publishers,1865-7192
DESAFIOS Revista Interdisciplinar da Universidade Federal do Tocantins,Universidade Federal do Tocantins,2359-3652
Desde el Sur Revista de Ciencias Humanas y Sociales de la Universidad Científica del Sur,Universidad Cientifica del Sur,2076-2674
Deu Muhendislik Fakultesi Fen ve Muhendislik,Deu Muhendislik Fakultesi Fen ve Muhendislik,1302-9304
Devices and Methods of Measurements,Belarusian National Technical University,2220-9506
Dhaka University Journal of Biological Sciences,Bangladesh Journals Online,1021-2787
Die Bodenkultur Journal of Land Management Food and Environment,Walter de Gruyter GmbH,0006-5471
Rossiyskiy Vestnik Perinatologii i Pediatrii (Russian Bulletin of Perinatology and Pediatrics),The National Academy of Pediatric Science and Innovation,1027-4065
Australian Journal of Teacher Education,Edith Cowan University,1835-517X
Belgrade English Language and Literature Studies,"Faculty of Philology, University of Belgrade",1821-3138
BEOnline Journal of the Center for Bioethics and Research,"Center for Bioethics and Research, Nigeria",2315-6422
Berkala Ilmu Perpustakaan dan Informasi,Universitas Gadjah Mada,1693-7740
Brünner Beiträge zur Germanistik und Nordistik,Masaryk University Press,1803-7380
BULETIN TEKNIK LITKAYASA Sumber Daya dan Penangkapan,Agency for Marine and Fisheries Research and Development,1693-7961
Bulletin of the National Technical University «KhPI» Series Dynamics and Strength of Machines,National Technical University Kharkiv Polytechnic Institute,2078-9130
Canadian Bulletin of Medical History,University of Toronto Press Inc,0823-2105
Chinese Journal of Engineering Science,Editorial Department of Engineering Sciences,1009-1742
Cleveland Studies in the History of Art,"Brepols Publishers, NV",1092-3934
Communication Management Review,Edward Bernays College of Communication Management,2459-590X
Computer Science and Mathematical Modelling,Index Copernicus International,1508-4183
Computing Trendz - The Journal of Emerging Trends in Information Technology,"School of Management Sciences, Varanas",2230-9152
Conversations An Online Journal of the Center for the Study of Material and Visual Cultures of Religion,Center for the Study of Material and Visual Cultures of Religion,2475-241X
Corporate Board role duties and composition,Virtus Interpress,1810-8601
Current Digest of the Post-Soviet Press The,"East View Information Services, Inc.",2159-3612
Cylchgrawn Addysg Cymru / Wales Journal of Education,University of Wales Press/Gwasg Prifysgol Cymru,2059-3708
Acta Medica Martiniana,De Gruyter Open Sp. z o.o. ,1335-8421
Acta Mycologica,Polish Botanical Society,0001-625X
Acta Neuropathologica Communications,Springer (Biomed Central Ltd.),2051-5960
Acta Silvatica et Lignaria Hungarica,De Gruyter Open Sp. z o.o. ,1787-064X
Acta Technologica Agriculturae,De Gruyter Open Sp. z o.o. ,1335-2555
Acta Universitatis Cibiniensis Series E Food Technology,De Gruyter Open Sp. z o.o. ,2344-150X
Acta Veterinaria Scandinavica,Springer (Biomed Central Ltd.),1751-0147
Acupuncture in Medicine,BMJ,0964-5284
Adiyaman University Journal of Social Sciences,Adiyaman University Journal of Social Sciences,1308-7363
Administrative Theory & Praxis,Informa UK (Taylor & Francis),1084-1806
Advanced Modeling and Simulation in Engineering Sciences,Springer (Biomed Central Ltd.),2213-7467
Advances in Applied Mathematics and Mechanics,Global Science Press,2070-0733
Advances in Archaeological Practice A Journal of the Society for American Archaeology,Society for American Archaeology,2326-3768
Advances in Education and Administration,Emerald (MCB UP ),1479-3660
Advances in Manufacturing Science and Technology,De Gruyter Open Sp. z o.o. ,1895-9881
Advances in Mental Health,Informa UK (Taylor & Francis),1837-4905
Advances in Psychiatric Treatment,Royal College of Psychiatrists,1355-5146
Aestimatio The IEB International Journal of Finance,Insitututo Estudios Bursatiles,2173-0164
African Evaluation Journal,AOSIS Open Journals,2306-5133
African Journal of Environmental Science and Technology,Academic Journals,1996-0786
African Journal of Microbiology Research,Academic Journals,1996-0808
Aging and Disease,Aging and Disease,2152-5250
Agrarian South Journal of Political Economy,SAGE Publications,2277-9760
Agriculture & Food Security,Springer (Biomed Central Ltd.),2048-7010
AIDS Research and Therapy,Springer (Biomed Central Ltd.),1742-6405
Alfa Revista de Linguística (São José do Rio Preto),SciELO,1981-5794
Algebraic Geometry,Foundation Compositio Mathematica,2214-2584
Algorithms for Molecular Biology,Springer (Biomed Central Ltd.),1748-7188
Allergy Asthma & Clinical Immunology,Springer (Biomed Central Ltd.),1710-1492
Alzheimer s Research & Therapy,Springer (Biomed Central Ltd.),1758-9193
American British and Canadian Studies Journal,De Gruyter Open Sp. z o.o. ,1841-964X
American Foreign Policy Interests,Informa UK (Taylor & Francis),1080-3920
American Potato Journal,Springer-Verlag,0003-0589
An Official Journal of the Japan Primary Care Association,The Japan Primary Care Association,2185-2928
"Analele Universitatii ""Ovidius"" Constanta - Seria Chimie",De Gruyter Open Sp. z o.o. ,1223-7221
Anàlisi,Fundacio per la Universitat Oberta de Catalunya,0211-2175
Ancient Asia,Ubiquity Press, Ltd.,2042-5937
ASEAN Marketing Journal,Fakultas Ekonomi dan Bisnis Universitas Indonesia,2085-5044
Asian Business Review,ABC Journals,2304-2613
Asian Education Studies,July Press Pte. Ltd.,2424-8487
BMC Blood Disorders,Springer (Biomed Central Ltd.),1471-2326
BMC Clinical Pharmacology,Springer (Biomed Central Ltd.),1472-6904
BMC Medical Physics,Springer (Biomed Central Ltd.),1756-6649
BMC Nuclear Medicine,Springer (Biomed Central Ltd.),1471-2385
BMC Proceedings,Springer (Biomed Central Ltd.),1753-6561
BMJ,BMJ,2059-8688
BMJ Global Health,BMJ,2059-7908
Ból,Index Copernicus International,1640-324X
Boletim do Instituto de Pesca,Boletim do Instituto de Pesca,0046-9939
Boletín de Literatura Oral,Universidad de Jaen,2173-0695
Boletín Galego de Literatura,University of Santiago de Compostela,0214-9117
Boyhood Studies,Berghahn Books,2375-9240
Brawijaya Law Journal,Brawijaya University,2356-4512
Brazilian Journal of Chemical Engineering,SciELO,1678-4383
Brazilian Review of Econometrics,Fundacao Getulio Vargas,1980-2447
BRICS Law Journal,Tyumen State University,2409-9058
British Journal of American Legal Studies,Walter de Gruyter GmbH,2049-4092
British Journal of Biomedical Science,Informa UK (Taylor & Francis),0967-4845
Brodogradnja,"Faculty of Mechanical Engineering and Naval Architecture, Univ. of Zagreb",0007-215X
Buletin Peternakan,Buletin Peternakan,0126-4400
Bulgarian Journal of Veterinary Medicine,Trakia University,Bulletin de l OIE,O.I.E (World Organisation for Animal Health),1684-3770
Bulletin of Pharmaceutical Research,Marwah Infotech,2249-6041
Bulletin of the Section of Logic,Uniwersytet Lodzki (University of Lodz),0138-0680
Búsqueda,Corporacion Universitaria del Caribe - CECAR,0123-9813
Caderno Espaço Feminino,EDUFU - Editora da Universidade Federal de Uberlandia,1981-3082
Caderno Virtual de Turismo,Editora de Livros IABS,1677-6976
Cadernos de Pesquisa,Universidade Federal do Maranhao,0102-4175
CADERNOS DE RELAÇÕES INTERNACIONAIS,Faculdades Catolicas,1983-4500
Cadernos Wittgenstein,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,1518-5230
Cadmo Revista de História Antiga,Coimbra University Press,0871-9527
Cahiers du Séminaire d Économétrie,JSTOR,0071-8343
Caliban,OpenEdition,2425-6250
Calíope presença clássica,"Faculdade de Letras, UFRJ",1676-3521
Campos en Ciencias Sociales,Universidad Santo Tomas,2339-3688
Canadian Journal of History of Sport,Human Kinetics,0712-9815
Canadian Journal of Nursing Research,SAGE Publications,0844-5621
Canadian Journal of Program Evaluation,University of Toronto Press Inc,Cancer Breaking News,HPS - Health Publishing & Services SRL,2283-6594
Cancer Treatment and Research Communications,Elsevier ,2468-2942
Cancers of the Head & Neck,Springer (Biomed Central Ltd.),2059-7347
Caribbean Quarterly,Informa UK (Taylor & Francis),0008-6495
Carnuntum Jahrbuch,Verlag der Osterreichischen Akademie der Wissenschaften,1025-2320
CASA Cadernos de Semiótica Aplicada,CASA: Cadernos de Semiotica Aplicada,1679-3404
Catch-Cropped Soils,American Society of Agronomy,CAUCHY,Maulana Malik Ibrahim State Islamic University,2086-0382
Cell Preservation Technology,Mary Ann Liebert,1538-344X
Cell Stem cells and Regenerative Medicine,"Sci Forschen, Inc.",2472-6990
Central Nervous System Trauma,Mary Ann Liebert,0737-5999
Ceramics - Silikaty,"Institute of Rock Structure and Mechanics, AS CR",0862-5468
CES Medicina,Universidad CES,2215-9177
Ceylon Journal of Science,Sri Lanka Journals Online ,2513-2814
Chem,Elsevier ,2451-9294
Chemical Informatics,Scitechnol Biosoft Pvt. Ltd.,2470-6973
childhood & philosophy,Universidade do Estado do Rio de Janeiro UERJ,1984-5987
Childhood and Education Journal,"Al Manhal FZ, LLC",2090-3847
Cuadernos Electrónicos de Filosofía del Derecho,Universitat de Valencia,1138-9877
Current Controlled Trials in Cardiovascular Medicine,Springer (Biomed Central Ltd.),1468-6708
Current Issues of Mass Communication,Taras Shevchenko National University of Kyiv,2312-5160
CUSTOMS POLICY OF RUSSIA IN THE FAR EAST,Kniga - Service Agency Ltd.,1815-0683
Cylchgrawn Addysg Cymru / Wales Journal of Education,University of Wales Press/Gwasg Prifysgol Cymru,2059-3708
Deakin Papers on International Business Economics,Deakin University,2206-4060
RGC - Revista de Governança Corporativa,Revista de Governanca Corporativa,2359-313X
Turkiye Klinikleri Journal of Internal Medicine,Ortadogu Reklam Tanitim Yayincilik Turizm Egitim Insaat Sanayi ve Ticaret A.S.,2458-8733
إضافات المجلة العربية لعلم الاجتماع,"Al Manhal FZ, LLC",2306-7128
Nutrition and Healthy Aging,IOS Press,2451-9480
Open Information Science,Walter de Gruyter GmbH,2451-1781
Turkish Journal of Colorectal Disease,Galenos Yayinevi,2536-4898
Pearl A Journal of Library and Information Science,Diva Enterprises Private Limited,0973-7081
RBOL- Revista Brasileira de Odontologia Legal,Revista Brasileira de Odontologia Legal,2359-3466
Acta Scientiarum Polonorum Silvarum Colendarum Ratio et Industria Lignaria,Uniwersytet Przyrodniczy w Poznaniu (Poznan University of Life Sciences),1644-0722
Advances in the Study of Information and Religion,Kent State University,2161-0177
al-Balagh Jurnal Dakwah dan Komunikasi,IAIN Surakarta,2527-5704
AL-BANJARI Jurnal Ilmiah Ilmu-ilmu Keislaman,IAIN Antasari,1412-9507
American Journal of Biological and Environmental Statistics,Science Publishing Group,2471-9765
American Journal of Geographic Information System,Scientific and Academic Publishing,2163-114X
Annals of Majmaah University for Researches and Studies,"Al Manhal FZ, LLC",1658-7316
Annals of Pure and Applied Mathematics,House of Scientific Research,2279-087X
Applied Mathematics and Mathematical Physics,"Graduate School of Science, Moscow University of Finance and Law",2312-0975
Arab Journal Of Plant Protection,Arab Society for Plant Protection,0255-982X
Archives Internationales d Histoire des Sciences,"Brepols Publishers, NV",0003-9810
Archives of Psychiatry and Psychotherapy,Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego,1509-2046
Arquivos do Museu Dinâmico Interdisciplinar,Universidade Estadual de Maringa,1980-959X
Asian Journal of Sustainability and Social Responsibility,Springer (Biomed Central Ltd.),2365-6417
Assiut Journal of Agricultural Sciences,Egypts Presidential Specialized Council for Education and Scientific Research,2356-9840
Australian Journal of Multi-Disciplinary Engineering,Informa UK (Taylor & Francis),1448-8388
Boletín de Arqueología Experimental,Servicio de Publicaciones de la Universidad Autonoma de Madrid,1138-9354
Animal Biotelemetry,Springer (Biomed Central Ltd.),2050-3385
Ankara Üniversitesi Türk İnkılap Tarihi Enstitüsü Atatürk Yolu Dergisi,Ankara University,1303-5290
Annalen der Philosophie und philosophischen Kritik,Springer-Verlag,1866-6175
Annales de Normandie,PERSEE Program,0003-4134
Annales UMCS Sectio K (Politologia),De Gruyter Open Sp. z o.o. ,1428-9512
Annals of Animal Science,De Gruyter Open Sp. z o.o. ,1642-3402
Annals of Business Administrative Science,Global Business Research Center,1347-4464
Annals of Clinical Microbiology and Antimicrobials,Springer (Biomed Central Ltd.),1476-0711
Annals of Colorectal Research,Kowsar Medical Institute,2322-5289
Annals of Diagnostic Paediatric Pathology,Springer-Verlag,1427-4426
Annals of General Psychiatry,Springer (Biomed Central Ltd.),1744-859X
Annals of Occupational and Environmental Medicine,Springer (Biomed Central Ltd.),2052-4374
Annals of Periodontology,American Academy of Periodontology,1553-0841
Annals of Surgical Innovation and Research,Springer (Biomed Central Ltd.),1750-1164
Annals of the Alexandru Ioan Cuza University - Mathematics,De Gruyter Open Sp. z o.o. ,1221-8421
Annals of the Rheumatic Diseases,BMJ,0003-4967
Annals of West University of Timisoara - Mathematics,De Gruyter Open Sp. z o.o. ,1841-3293
Anthropology & Archeology of Eurasia,Informa UK (Taylor & Francis),1061-1959
Antimicrobial Resistance and Infection Control,Springer (Biomed Central Ltd.),2047-2994
Antiviral Chemistry & Chemotherapy,SAGE Publications,0956-3202
Antiviral Chemistry and Chemotherapy,International Medical Press,2040-2066
ANVIL,De Gruyter Open Sp. z o.o. ,0969-7373
Anxiety Disorder Research,Japanese Society of Anxiety Disorders,1883-5619
APLA Newsletter,Wiley Blackwell (Blackwell Publishing),1081-6976
Applicable Analysis and Discrete Mathematics,National Library of Serbia,1452-8630
Applied Adhesion Science,Springer (Biomed Central Ltd.),2196-4351
Applied Computer Systems,De Gruyter Open Sp. z o.o. ,2255-8691
Applied Scientific Research,Springer-Verlag,0003-6994
Aquatic Biosystems,Springer (Biomed Central Ltd.),2046-9063
