JNSM,JScholar,New Comprehensive Biochemistry,Elsevier ,New Frontiers in Ophthalmology,Open Access Text,2397-2092
Arbitration International,Springer (Kluwer Academic Publishers),0957-0411
Archive of Mechanical Engineering,De Gruyter Open Sp. z o.o. ,0004-0738
Archives of Acoustics,De Gruyter Open Sp. z o.o. ,0137-5075
Archives of Aesthetic Plastic Surgery,Korean Society for Aesthetic Plastic Surgery (KAMJE),2234-0831
Archives of Control Sciences,De Gruyter Open Sp. z o.o. ,1230-2384
Archives of Electrical Engineering,De Gruyter Open Sp. z o.o. ,0004-0746
Archives of Foundry Engineering,De Gruyter Open Sp. z o.o. ,1897-3310
Archives of Hydro-Engineering and Environmental Mechanics,De Gruyter Open Sp. z o.o. ,1231-3726
Archives of Industrial Hygiene and Toxicology,De Gruyter Open Sp. z o.o. ,0004-1254
Archives of Metallurgy and Materials,De Gruyter Open Sp. z o.o. ,1733-3490
Archives of Mining Sciences,De Gruyter Open Sp. z o.o. ,0860-7001
Archives of Orthopaedic and Traumatic Surgery,Springer-Verlag,0344-8444
Archives of Public Health,Springer (Biomed Central Ltd.),0778-7367
Archivos de Prevención de Riesgos Laborales,Societat Catalana de Seguretat I Medicina del Treball,1138-9672
Archiwum Emigracji,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,2084-3550
Arctic Anthropology,University of Wisconsin Press,1933-8139
Ardeola,BioOne - Ardeola,0570-7358
Arion,JSTOR,0095-5809
ARS (São Paulo),Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,1678-5320
Art Journal,Informa UK (Taylor & Francis),0004-3249
Arthritis Research & Therapy,Springer (Biomed Central Ltd.),1478-6354
Asia Pacific Journal on Computational Engineering,Springer (Biomed Central Ltd.),2196-1166
Asia Pacific Media Educator,SAGE Publications,1326-365X
Asian Journal of Human Services,Asian Society of Human Services,2186-3350
Atlantic Geology,Atlantic Geology,1718-7885
Autex Research Journal,De Gruyter Open Sp. z o.o. ,1470-9589
Autism - Open Access,OMICS Publishing Group,2165-7890
Balıkesır Health Sciences Journal,"LookUs Bilisim, Ltd.",2146-9601
Balkan Journal of Medical Genetics,De Gruyter Open Sp. z o.o. ,1311-0160
Bangladesh Journal of Child Health,Bangladesh Journals Online,0257-3490
Bangladesh Journal of Medical Biochemistry,Bangladesh Journals Online,2073-9915
Bangladesh Journal of Physiology and Pharmacology,Bangladesh Journals Online,1561-1566
Bangladesh Journal of Scientific Research,Bangladesh Journals Online,0253-5432
Bangladesh Journal of Zoology,Bangladesh Journals Online,0304-9027
Bangladesh Medical Research Council Bulletin,Bangladesh Journals Online,0377-9238
Bangladesh Pharmaceutical Journal,Bangladesh Journals Online,0301-4606
Behavioral and Brain Functions,Springer (Biomed Central Ltd.),1744-9081
Benthos research,The Japanese Association of Benthology,1883-888X
Bezmialem Science,Bezmialem Vakif University,2148-2373
BIBECHANA,Nepal Journals Online,2091-0762
Biblioteka,Adam Mickiewicz University Poznan,1506-3615
Biocatalyzed Mannich Reaction,Thieme Publishing Group,2060-0305
BioData Mining,Springer (Biomed Central Ltd.),1756-0381
Biodiversity Research and Conservation,De Gruyter Open Sp. z o.o. ,1897-2810
Bioengineered Bugs,Landes Bioscience,1949-1018
Bioentrepreneur,Nature Publishing Group,1542-6572
Biology Direct,Springer (Biomed Central Ltd.),1745-6150
Biology of Mood & Anxiety Disorders,Springer (Biomed Central Ltd.),2045-5380
Biology of Sex Differences,Springer (Biomed Central Ltd.),2042-6410
Biomarker Research,Springer (Biomed Central Ltd.),2050-7771
Biomédica,Instituto Nacional de Salud,0120-4157
BioMedical Engineering OnLine,Springer (Biomed Central Ltd.),1475-925X
Biometrical Letters,De Gruyter Open Sp. z o.o. ,1896-3811
BIOPHILIA,International Biophilia Rehabilitation Academy,2186-8433
BioPsychoSocial Medicine,Springer (Biomed Central Ltd.),1751-0759
Bioresources and Bioprocessing,Springer (Biomed Central Ltd.),2197-4365
Biorheology,Elsevier ,0006-355X
Biotechnology for Biofuels,Springer (Biomed Central Ltd.),1754-6834
BMC Bioinformatics,Springer (Biomed Central Ltd.),1471-2105
BMC Biology,Springer (Biomed Central Ltd.),1741-7007
BMC Biophysics,Springer (Biomed Central Ltd.),2046-1682
BMC Biotechnology,Springer (Biomed Central Ltd.),1472-6750
BMC Cancer,Springer (Biomed Central Ltd.),1471-2407
BMC Clinical Pathology,Springer (Biomed Central Ltd.),1472-6890
BMC Complementary and Alternative Medicine,Springer (Biomed Central Ltd.),1472-6882
BMC Dermatology,Springer (Biomed Central Ltd.),1471-5945
BMC Ear Nose and Throat Disorders,Springer (Biomed Central Ltd.),1472-6815
BMC Ecology,Springer (Biomed Central Ltd.),1472-6785
BMC Endocrine Disorders,Springer (Biomed Central Ltd.),1472-6823
BMC Evolutionary Biology,Springer (Biomed Central Ltd.),1471-2148
BMC Family Practice,Springer (Biomed Central Ltd.),1471-2296
BMC Genomics,Springer (Biomed Central Ltd.),1471-2164
BMC Geriatrics,Springer (Biomed Central Ltd.),1471-2318
BMC Health Services Research,Springer (Biomed Central Ltd.),1472-6963
BMC Hematology,Springer (Biomed Central Ltd.),2052-1839
BMC Immunology,Springer (Biomed Central Ltd.),1471-2172
BMC Infectious Diseases,Springer (Biomed Central Ltd.),1471-2334
BMC International Health and Human Rights,Springer (Biomed Central Ltd.),1472-698X
BMC Medical Education,Springer (Biomed Central Ltd.),1472-6920
BMC Medical Ethics,Springer (Biomed Central Ltd.),1472-6939
BMC Medical Genetics,Springer (Biomed Central Ltd.),1471-2350
BMC Medical Genomics,Springer (Biomed Central Ltd.),1755-8794
BMC Medical Imaging,Springer (Biomed Central Ltd.),1471-2342
BMC Medical Informatics and Decision Making,Springer (Biomed Central Ltd.),1472-6947
BMC Medical Research Methodology,Springer (Biomed Central Ltd.),1471-2288
BMC Medicine,Springer (Biomed Central Ltd.),1741-7015
BMC Microbiology,Springer (Biomed Central Ltd.),1471-2180
BMC Molecular Biology,Springer (Biomed Central Ltd.),1471-2199
BMC Musculoskeletal Disorders,Springer (Biomed Central Ltd.),1471-2474
BMC Nephrology,Springer (Biomed Central Ltd.),1471-2369
BMC Neuroscience,Springer (Biomed Central Ltd.),1471-2202
BMC Nursing,Springer (Biomed Central Ltd.),1472-6955
BMC Obesity,Springer (Biomed Central Ltd.),2052-9538
BMC Oral Health,Springer (Biomed Central Ltd.),1472-6831
BMC Palliative Care,Springer (Biomed Central Ltd.),1472-684X
BMC Pediatrics,Springer (Biomed Central Ltd.),1471-2431
BMC Pharmacology and Toxicology,Springer (Biomed Central Ltd.),2050-6511
BMC Physiology,Springer (Biomed Central Ltd.),1472-6793
BMC Plant Biology,Springer (Biomed Central Ltd.),1471-2229
BMC Psychiatry,Springer (Biomed Central Ltd.),1471-244X
BMC Psychology,Springer (Biomed Central Ltd.),2050-7283
BMC Public Health,Springer (Biomed Central Ltd.),1471-2458
BMC Pulmonary Medicine,Springer (Biomed Central Ltd.),1471-2466
BMC Research Notes,Springer (Biomed Central Ltd.),1756-0500
BMC Structural Biology,Springer (Biomed Central Ltd.),1472-6807
BMC Surgery,Springer (Biomed Central Ltd.),1471-2482
BMC Systems Biology,Springer (Biomed Central Ltd.),1752-0509
BMC Urology,Springer (Biomed Central Ltd.),1471-2490
BMC Veterinary Research,Springer (Biomed Central Ltd.),1746-6148
BMC Women s Health,Springer (Biomed Central Ltd.),1472-6874
BMJ Open,BMJ,2044-6055
Bochumer Philosophisches Jahrbuch fur Antike und Mittelalter,John Benjamins Publishing Company,1384-6663
Boletim do Museu Paraense Emílio Goeldi Ciências Humanas,SciELO,1981-8122
Boletín Terapéutico Andaluz,CADIME Centro Andaluz de Informacion de Medicamentos,0212-9450
Bone Research,Nature Publishing Group,2095-4700
Borderline Personality Disorder and Emotion Dysregulation,Springer (Biomed Central Ltd.),2051-6673
Botanical Studies,Springer (Biomed Central Ltd.),1999-3110
Brain & Neurorehabilitation,Korean Society for Neurorehabilitation (KAMJE),1976-8753
BRAZILIAN JOURNAL OF FOOD TECHNOLOGY,SciELO,1981-6723
Brazilian Journal of Science and Technology,Springer (Biomed Central Ltd.),2196-288X
Breast Cancer Research,Springer (Biomed Central Ltd.),1465-5411
British Journal of Ophthalmology,BMJ,0007-1161
British Journal of Sports Medicine,BMJ,0306-3674
Brontë Studies (subtitle The Journal of Brontë Society),Maney Publishing,1474-8932
Bulletin Géodésique,Springer-Verlag,0007-4632
Bulletin of Geography Physical Geography Series,De Gruyter Open Sp. z o.o. ,2080-7686
Bulletin of Geography Socio-economic series,De Gruyter Open Sp. z o.o. ,1732-4254
BULLETIN OF THE GEOLOGICAL SURVEY OF JAPAN,National Institute of Advanced Industrial Scicence,1346-4272
Bulletin of the Polish Academy of Sciences Technical Sciences,De Gruyter Open Sp. z o.o. ,0239-7528
Bulletin of the Veterinary Institute in Pulawy,De Gruyter Open Sp. z o.o. ,0042-4870
Burns & Trauma,Medknow Publications,2321-3868
Business & Information Systems Engineering,Springer-Verlag,1867-0202
Business Ethics Quarterly,Philosophy Documentation Center,1052-150X
By X-ray Crystallography,Thieme Publishing Group,2050-0483
Cahiers d Économie Politique,PERSEE Program,0154-8344
Cahiers philosophiques,CAIRN,0241-2799
Canadian Journal of Dietetic Practice and Research,Dietitians of Canada,1486-3847
Canadian Journal of Kidney Health and Disease,Springer (Biomed Central Ltd.),2054-3581
Canadian Journal of Sociology / Cahiers canadiens de sociologie,JSTOR,0318-6431
Canadian Oncology Nursing Journal,Pappin Communications,1181-912X
Cancer & Metabolism,Springer (Biomed Central Ltd.),2049-3002
Cancer Cell International,Springer (Biomed Central Ltd.),1475-2867
Canine Genetics and Epidemiology,Springer (Biomed Central Ltd.),2052-6687
Caravelle,PERSEE Program,0184-7694
Carbon Balance and Management,Springer (Biomed Central Ltd.),1750-0680
Carbon Management,Informa UK (Taylor & Francis),1758-3004
Cardiology Research,"Elmer Press, Inc.",1923-2829
Cardiometry,Russian New University,2304-7232
Cardiovascular Diabetology,Springer (Biomed Central Ltd.),1475-2840
Cardiovascular Intervention and Therapeutics Japanese Edition,Japanese Association of Cardiovascular Intervention and Therapeutics,1884-0027
Cardiovascular Journal,Bangladesh Journals Online,2071-0917
Cardiovascular Research,Oxford University Press,0008-6363
Cardiovascular Ultrasound,Springer (Biomed Central Ltd.),1476-7120
Carpathian Mathematical Publications,Vasyl Stefanyk Precarpathian National University,2075-9827
Case Studies in Sport Management,Human Kinetics,2167-2458
Cationic Hydrogen-Bond Donor Catalysts,Thieme Publishing Group,2050-0467
Cell & Bioscience,Springer (Biomed Central Ltd.),2045-3701
Cell Communication and Signaling,Springer (Biomed Central Ltd.),1478-811X
Cell Division,Springer (Biomed Central Ltd.),1747-1028
Cell Regeneration,Springer (Biomed Central Ltd.),2045-9769
Cement Science and Concrete Technology,Japan Cement Association,0916-3182
Ceylon Medical Journal,Sri Lanka Journals Online ,0009-0875
Chemical and Biological Technologies in Agriculture,Springer (Biomed Central Ltd.),2196-5641
Chemical and Process Engineering,De Gruyter Open Sp. z o.o. ,0208-6425
Chemical Bulletin of Kazakh National University,Center of Physical Chemical Methods of Research and Analysis,1563-0331
Chemical Speciation and Bioavailability,Informa UK (Taylor & Francis),0954-2299
Chemistry Central Journal,Springer (Biomed Central Ltd.),1752-153X
Chemistry-Didactics-Ecology-Metrology,De Gruyter Open Sp. z o.o. ,2084-4506
Child and Adolescent Psychiatry and Mental Health,Springer (Biomed Central Ltd.),1753-2000
China Finance and Economic Review,Springer (Biomed Central Ltd.),2095-4638
Chinese Economy,Informa UK (Taylor & Francis),1097-1475
Chinese Education & Society,Informa UK (Taylor & Francis),1061-1932
Chinese Law & Government,Informa UK (Taylor & Francis),0009-4609
Chinese Medicine,Springer (Biomed Central Ltd.),1749-8546
Chinese Studies in History,Informa UK (Taylor & Francis),0009-4633
Chiropractic & Manual Therapies,Springer (Biomed Central Ltd.),2045-709X
Ciencias Marinas,Instituto de Investigaciones Oceanologicas,0185-3880
Cilia,Springer (Biomed Central Ltd.),2046-2530
Citizenship Social and Economics Education,SAGE Publications,1478-8047
Classica Cracoviensia,Ksiegarnia Akademicka Sp. z.o.o.,1505-8913
Clinical and Molecular Allergy,Springer (Biomed Central Ltd.),1476-7961
Clinical and Translational Allergy,Springer (Biomed Central Ltd.),2045-7022
Clinical Sarcoma Research,Springer (Biomed Central Ltd.),2045-3329
Cold Spring Harbor Protocols,Cold Spring Harbor Laboratory Press,1559-6095
Communications in Computational Physics,Global Science Press,1815-2406
Companion Animal,Mark Allen Group,1464-4630
Comparative Economic Research,De Gruyter Open Sp. z o.o. ,1508-2008
Comptabilité - Contrôle - Audit,CAIRN,1262-2788
Computación y Sistemas,Instituto Politecnico Nacional/Centro de Investigacion en Computacion,1405-5546
Computational and Structural Biotechnology Journal,Elsevier ,2001-0370
Computational Methods in Science and Technology,ICHB PAS Poznan Supercomputing and Networking Center,1505-0602
Computer Science and Information Systems,National Library of Serbia,1820-0214
Conflict and Health,Springer (Biomed Central Ltd.),1752-1505
Construction Science,De Gruyter Open Sp. z o.o. ,2255-8551
Contemporary Chinese Thought,Informa UK (Taylor & Francis),1097-1467
Botswana Journal of Economics,African Journals Online ,1810-0163
Catalysis Today,Elsevier ,0920-5861
Civil Engineering and Urban Planning An International Journal (CiVEJ),Academy and Industry Research Collaboration Center,2394-5818
Contemporary French Civilization,Liverpool University Press,0147-9156
Contemporary Issues in Early Childhood,SAGE Publications,1463-9491
Contemporary Management Research,Academy of Taiwan Information Systems Research,1813-5498
Contemporary Nurse,Informa UK (Taylor & Francis),1037-6178
Contemporary Review of the Middle East,SAGE Publications,2347-7989
Contraste,CAIRN,1254-7689
Copeia,BioOne (American Society of Icthyologists and Herpetologists),0045-8511
Cost Effectiveness and Resource Allocation,Springer (Biomed Central Ltd.),1478-7547
Cough,Springer (Biomed Central Ltd.),1745-9974
Critical Studies in Teaching and Learning,University of the Western Cape Library Service,2310-7103
Criticón,OpenEdition,0247-381X
Cropp Breeding and Applied Biotechnology,SciELO,1984-7033
Roczniki Pedagogiczne,Towarzystwo Naukowe KUL,2080-850X
American Journal of Cosmetic Surgery,SAGE Publications,0748-8068
American Journal of Organic Chemistry,Scientific and Academic Publishing,2163-1301
American Research Journal of Nursing,American Research Journals,2379-2922
American Review of Politics,University of Oklahoma Libraries,2374-7781
Ana Dili Eğitimi Dergisi,Ana Dili Egitimi Dergisi ADED,2147-6020
Anatolian Journal of Medical Sciences,Health Sciences Researches Society,2459-0177
Anclajes,Universidad Nacional de La Pampa,1851-4669
Animal Reproduction,Colegio Brasileiro de Reproducao Animal - CBRA,1984-3143
Animal Reproduction,Editora Cubo Multimidia,1806-9614
Annales d Économie et de Statistique,JSTOR,0769-489X
Annales de l inséé,JSTOR,0019-0209
Annales de Parasitologie Humaine et Comparée,EDP Sciences,0003-4150
Annals of Cardiothoracic Surgery,AME Publishing Company,2225-319X
Annals of Horticulture,Diva Enterprises Private Limited,0974-8784
Annals of Joint,AME Publishing Company,2415-6809
Annals of Palliative Medicine,AME Publishing Company,2224-5820
Annals of Plant Sciences,Adhya Biosciences Pvt. Ltd.,2287-688X
Annual of Navigation,De Gruyter Open Sp. z o.o. ,1640-8632
Annual Reports on NMR Spectroscopy,Elsevier ,Anthropologica,Sistema de Bibliotecas PUCP,0254-9212
Anthropology - Open Journal,Openventio Publishers,2473-4772
Antisense Research and Development,Mary Ann Liebert,1050-5261
Anuario de Estudios Centroamericanos,Universidad de Costa Rica,0377-7316
ANZIAM Journal,"Australian Mathematical Publishing Association, Inc.",1445-8810
AoB Plants,Oxford University Press,2041-2851
Aotearoa New Zealand Social Work,University of Otago Library,1178-5527
APL Photonics,American Institute of Physics,2378-0967
Applied Microbiology open access,OMICS Publishing Group,2471-9315
Applied Mycology and Biotechnology,Elsevier ,Applied Network Science,Springer-Verlag,2364-8228
Applied photonics,PNRPU Publishing Office,2411-4367
Applied psychology and pedagogy,Infra-M Academic Publishing House,2500-0543
Applied Statistics,JSTOR,Applied Tourism,Editora UNIVALI,2448-3524
APSP Journal of Case Reports,El-Med-Pub Publisher,2218-8185
Apuntes Revista de Ciencias Sociales,Universidad del Pacifico,0252-1865
Aquacultura Indonesiana,Indonesian Aquaculture Society,0216-0749
Arab Economic Journal,"Al Manhal FZ, LLC",1110-8274
ARC Journal of Anesthesiology,ARC Publications Pvt Ltd.,2455-9792
ARC Journal of Clinical Case Reports,ARC Publications Pvt Ltd.,2455-9806
ARC Journal of Dental Science,ARC Publications Pvt Ltd.,2456-0030
ARC Journal of Dermatology,ARC Publications Pvt Ltd.,2456-0022
ARC Journal of Forensic Science,ARC Publications Pvt Ltd.,2456-0049
ARC Journal of Gynecology and Obstetrics,ARC Publications Pvt Ltd.,2456-0561
ARC Journal of Neuroscience,ARC Publications Pvt Ltd.,2456-057X
ARC Journal of Orthopedics,ARC Publications Pvt Ltd.,2456-0588
ARC Journal of Pharmaceutical Sciences,ARC Publications Pvt Ltd.,2455-1538
ARC Journal of Urology,ARC Publications Pvt Ltd.,2456-060X
Archiv für Ohrenheilkunde,Springer-Verlag,Archives,Consortium Erudit,0044-9423
Archives of Veterinary Science,Universidade Federal do Parana,1517-784X
Area Development and Policy,Informa UK (Taylor & Francis),2379-2949
Arena Hukum,Brawijaya University,0126-0235
ARENA Journal of Architectural Research,"Ubiquity Press, Ltd.",2397-0820
ARHE,"Faculty of Philosophy, University of Novi Sad",1820-0958
Arkhiv patologii,Media Sphere Publishing Group,0004-1955
Ars Aeterna,De Gruyter Open Sp. z o.o. ,1337-9291
Art History & Criticism,Vytautas Magnus University,1822-4555
Art-e Sanat Dergisi,Art-E Sanat Dergisi,1308-2698
Artefact,Centre for Evaluation in Education and Science,2406-3134
Artes Humanae,Wydawnictwo Uniwersytetu Marii Curie-SkÅ?odowskiej w Lublinie,2449-6340
Arthropod Management Tests,Oxford University Press,2155-9856
AS - Maandblad voor de activiteitensector,Springer-Verlag,0168-2857
Asian Women,Research Institute of Asian Women,1225-9241
Assay and Drug Development Technologies,Mary Ann Liebert,1540-658X
Asthma Allergy Immunology,Turkish National Society of Allergy and Clinical Immunology,1308-9234
Astrobiology,Mary Ann Liebert,1531-1074
Atención Familiar,Elsevier ,1405-8871
Athletic Therapy Today,Human Kinetics,1078-7895
ATRIUM - Jurnal Arsitektur,Duta Wacana Christian University,2442-7756
AUC PHILOLOGICA,"Charles University in Prague, Karolinum Press",0567-8269
Australian Archaeology,Informa UK (Taylor & Francis),0312-2417
Australian Field Ornithology,"BirdLife Australia, Ltd.",2206-3447
Australian Journal of Crop Science,Southern Cross Publishing,1835-2693
Authorship,Ghent University,2034-4643
Auto Tech Review,Springer Fachmedien Wiesbaden GmbH,2250-3390
Bangladesh Heart Journal,Bangladesh Journals Online,1024-8714
Bangladesh Journal of Microbiology,Bangladesh Journals Online,1011-9981
Banks and Bank Systems,LLC CPC Business Perspectives,1816-7403
Barbastella,SECEMU,1576-9720
Baru,Pontifica Universidade Catolica de Goias -PUC Goias,2448-0460
Basic and Clinical Neuroscience Journal,Lexis Publisher,2008-126X
Bhumi The Planning Research Journal,Sri Lanka Journals Online ,2012-5720
Biblioteka Regionalisty,Wroclaw University of Economics,2081-4461
Biblos Revista da FLUC,Coimbra University Press,0870-4112
Big Data Analytics,Springer (Biomed Central Ltd.),2058-6345
Binus Business Review,Universitas Bina Nusantara,2087-1228
BIO-PROTOCOL,Bio-Protocol,2331-8325
Bioactive Materials,Elsevier ,2452-199X
BioéthiqueOnline,Consortium Erudit,1923-2799
Biographical Studies 1534–1829,Cambridge University Press,0268-4195
Biomedical Genetics and Genomics,Open Access Text,2398-5399
Biomedical Research and Clinical Practice,Open Access Text,2397-9631
Biomedical Research Reports,Elsevier ,Bioprinting,Elsevier ,2405-8866
Biosalud,Universidad de Caldas,1657-9550
Biosfera,Program Pascasarjana Universitas Jenderal Soedirman,0853-1625
Biota Colombiana,Instituto de Investigacion de Recursos Biologicos Alexander von Humboldt (IAVH),0124-5376
Biotekhnologiya,FSUE Institute for Genetics and Selection of Industrial Microorganisms (Gos NIIgenetika),0234-2758
Bitki Koruma Bülteni,Plant Protection Bulletin,0406-3597
BLDE University Journal of Health Sciences,Medknow Publications,2456-1975
Blucher Chemistry Proceedings,"Editora Edgard Blucher, Ltda.",Blucher Design Proceedings,"Editora Edgard Blucher, Ltda.",Blucher Medical Proceedings,"Editora Edgard Blucher, Ltda.",Bulletin of the Moscow State Regional University (History and political science),Moscow Regional State University,2072-8360
Bulletin of the Moscow State Regional University (Law),Moscow Regional State University,2072-8557
Bulletin of the Moscow State Regional University (Natural sciences),Moscow Regional State University,2072-8352
Bulletin of the Moscow State Regional University (Pedagogics),Moscow Regional State University,2310-7219
Bulletin of the Moscow State Regional University (Philosophical science),Moscow Regional State University,2310-7227
Bulletin of the Moscow State Regional University (Physics and mathematics),Moscow Regional State University,2072-8387
Bulletin of the Moscow State Regional University (Psychological science),Moscow Regional State University,2310-7235
Bulletin of the Moscow State Regional University (Russian philology),Moscow Regional State University,2310-7278
Bulletin of the Moskow State Regional University (Linguistics),Moscow Regional State University,2072-8379
"Bulletin of the National Technical University ""KhPI"" A series of ""Information and Modeling""",National Technical University Kharkiv Polytechnic Institute,2079-0031
"Bulletin of the South Ural State University series ""Law""",FSAEIHE South Ural State University (National Research University),1991-9778
Bulletin of the Wildlife Disease Association,Wildlife Disease Association,0098-373X
Bulletin of Ural Federal University Series Economics and Management,Ural Federal University,2412-5725
Bulletin physiology and pathology of respiration,Infra-M Academic Publishing House,1998-5029
C Q D - Revista Eletrônica Paulista de Matemática,C.Q.D.- Revista Eletronica Paulista de Matematica,2316-9664
C21 Literature Journal of 21st-century Writings,Open Library of Humanities,2045-5224
Cadernos de História da Educação,EDUFU - Editora da Universidade Federal de Uberlandia,1982-7806
Canadian Journal of Applied Sciences,Intellectual Consortium of Drug Discovery and Technology Development Incorporation,1925-7430
Canadian Journal of General Internal Medicine,"Andrew John Publishing, Inc.",1911-1606
Canadian Journal of History of Sport and Physical Education,Human Kinetics,0008-4115
Canadian Journal of University Continuing Education,Canadian Journal of University Continuing Education,0318-9090
Cancer therapy & Oncology International Journal,Juniper Publishers,2473-554X
Časopis pro právní vědu a praxi,Masaryk University Press,1210-9126
Cataract and Cornea Journal of the Egyptian Society of Cataract and Corneal Diseases,"Al Manhal FZ, LLC",1110-7499
Cellular Therapy and Transplantation,Foundation for the Development of Bone Marrow Transplantation,1866-8836
Cendekia Jurnal Kependidikan dan Kemasyarakatan,STAIN Ponorogo,1693-1505
Central European Journal of Sport Sciences and Medicine,University of Szczecin,2300-9705
Cervantes Bulletin of the Cervantes Society of America,Muse - Johns Hopkins University Press,1943-3840
CHIMERA Romance Corpora and Linguistic Studies,Servicio de Publicaciones de la Universidad Autonoma de Madrid,Chinese as a Second Language (漢語教學研究—美國中文教師學會學報),John Benjamins Publishing Company,2451-828X
Chitrolekha International Magazine on Art and Design,Aesthetics Media Services,2231-4822
CIAN-Revista de Historia de las Universidades,Universidad Carlos III de Madrid,1988-8503
Patologiya krovoobrashcheniya i kardiokhirurgiya,Institute of Circulation Pathology,1681-3472
Civil And Environmental Engineering Reports,Walter de Gruyter GmbH,2080-5187
Clínica e Investigación Relacional,Instituto de Psicoterapia Relacional (IPR),1988-2939
Clinical & Medical Biochemistry Open Access,OMICS Publishing Group,2471-2663
Clinical and Translational Degenerative Diseases,Medknow Publications,2468-5658
Cliodynamics The Journal of Quantitative History and Cultural Evolution,Cliodynamics: The Journal of Quantative History and Cultural Evolution,2373-7530
